SKU,Plan Month,Planned Qty
FLTRK-ORS,2026-01-01,3.5
END50R14A20C,2026-02-01,8.7
END50R14M20C,2026-02-01,8
END50R14M30C,2026-02-01,3.8
END50R14M17C,2026-02-01,3.1
END50R14A17C,2026-02-01,3.6
END50R14M40C,2026-02-01,3.8
ENST50R14C20C,2026-02-01,10.7
ENST50R14M20C,2026-02-01,12.1
ENST50R14C17D,2026-02-01,7
ENST50R14M17C,2026-02-01,25.1
ENST50R14C17C,2026-02-01,17.1
ENST50R14C17E,2026-02-01,7
FOENV35W12.8A-BLACK-23,2026-02-01,10
FOENV35W12.8A-BLUE-23,2026-02-01,10
FOENV35W12.8A-RED-23,2026-02-01,10
FLEXOL-BLKS,2026-02-01,1
FLEXOL-ORS,2026-02-01,1
FLTRK-BLKS,2026-02-01,4
FLTRK-ORS,2026-02-01,4
END50R14A20C,2026-03-01,33.2
END50R14M20C,2026-03-01,30.6
END50R14M30C,2026-03-01,14.6
END50R14M17C,2026-03-01,12
END50R14A17C,2026-03-01,13.9
END50R14M40C,2026-03-01,14.6
ENST50R14C20C,2026-03-01,22.8
ENST50R14M20C,2026-03-01,25.7
ENST50R14C17D,2026-03-01,15
ENST50R14M17C,2026-03-01,53.4
ENST50R14C17C,2026-03-01,36.3
ENST50R14C17E,2026-03-01,15
FOENV35W12.8A-BLACK-23,2026-03-01,56
FOENV35W12.8A-BLUE-23,2026-03-01,56
FOENV35W12.8A-RED-23,2026-03-01,56
FLEXOL-BLKS,2026-03-01,7
FLEXOL-ORS,2026-03-01,7
FLTRK-BLKS,2026-03-01,9.5
FLTRK-ORS,2026-03-01,9.5
END50R14A20C,2026-04-01,43.3
END50R14M20C,2026-04-01,39.9
END50R14M30C,2026-04-01,19
END50R14M17C,2026-04-01,15.6
END50R14A17C,2026-04-01,18.2
END50R14M40C,2026-04-01,19
ENST50R14C20C,2026-04-01,27.8
ENST50R14M20C,2026-04-01,31.3
ENST50R14C17D,2026-04-01,18.3
ENST50R14M17C,2026-04-01,65.2
ENST50R14C17C,2026-04-01,44.2
ENST50R14C17E,2026-04-01,18.3
FOENV35W12.8A-BLACK-23,2026-04-01,26.3
FOENV35W12.8A-BLUE-23,2026-04-01,26.3
FOENV35W12.8A-RED-23,2026-04-01,26.3
FLEXOL-BLKS,2026-04-01,7
FLEXOL-ORS,2026-04-01,7
FLTRK-BLKS,2026-04-01,16
FLTRK-ORS,2026-04-01,16
END50R14A20C,2026-05-01,48.6
END50R14M20C,2026-05-01,44.7
END50R14M30C,2026-05-01,21.4
END50R14M17C,2026-05-01,17.6
END50R14A17C,2026-05-01,20.4
END50R14M40C,2026-05-01,21.4
ENST50R14C20C,2026-05-01,40.1
ENST50R14M20C,2026-05-01,45.2
ENST50R14C17D,2026-05-01,26.4
ENST50R14M17C,2026-05-01,94.1
ENST50R14C17C,2026-05-01,63.9
ENST50R14C17E,2026-05-01,26.4
FOENV35W12.8A-BLACK-23,2026-05-01,33.3
FOENV35W12.8A-BLUE-23,2026-05-01,33.3
FOENV35W12.8A-RED-23,2026-05-01,33.3
FLEXOL-BLKS,2026-05-01,15.5
FLEXOL-ORS,2026-05-01,15.5
FLTRK-BLKS,2026-05-01,13
FLTRK-ORS,2026-05-01,13
END50R14A20C,2026-06-01,47.2
END50R14M20C,2026-06-01,43.5
END50R14M30C,2026-06-01,20.8
END50R14M17C,2026-06-01,17.1
END50R14A17C,2026-06-01,19.8
END50R14M40C,2026-06-01,20.8
ENST50R14C20C,2026-06-01,30.1
ENST50R14M20C,2026-06-01,33.9
ENST50R14C17D,2026-06-01,19.8
ENST50R14M17C,2026-06-01,70.6
ENST50R14C17C,2026-06-01,47.9
ENST50R14C17E,2026-06-01,19.8
FOENV35W12.8A-BLACK-23,2026-06-01,55.3
FOENV35W12.8A-BLUE-23,2026-06-01,55.3
FOENV35W12.8A-RED-23,2026-06-01,55.3
FLEXOL-BLKS,2026-06-01,9.5
FLEXOL-ORS,2026-06-01,9.5
FLTRK-BLKS,2026-06-01,17
FLTRK-ORS,2026-06-01,17
END50R14A20C,2026-07-01,41.6
END50R14M20C,2026-07-01,38.3
END50R14M30C,2026-07-01,18.3
END50R14M17C,2026-07-01,15
END50R14A17C,2026-07-01,17.5
END50R14M40C,2026-07-01,18.3
ENST50R14C20C,2026-07-01,38.7
ENST50R14M20C,2026-07-01,43.7
ENST50R14C17D,2026-07-01,25.5
ENST50R14M17C,2026-07-01,90.9
ENST50R14C17C,2026-07-01,61.7
ENST50R14C17E,2026-07-01,25.5
FOENV35W12.8A-BLACK-23,2026-07-01,18
FOENV35W12.8A-BLUE-23,2026-07-01,18
FOENV35W12.8A-RED-23,2026-07-01,18
FLEXOL-BLKS,2026-07-01,14.5
FLEXOL-ORS,2026-07-01,14.5
FLTRK-BLKS,2026-07-01,18
FLTRK-ORS,2026-07-01,18
END50R14A20C,2026-08-01,30.7
END50R14M20C,2026-08-01,28.3
END50R14M30C,2026-08-01,13.5
END50R14M17C,2026-08-01,11.1
END50R14A17C,2026-08-01,12.9
END50R14M40C,2026-08-01,13.5
ENST50R14C20C,2026-08-01,21.4
ENST50R14M20C,2026-08-01,24.1
ENST50R14C17D,2026-08-01,14.1
ENST50R14M17C,2026-08-01,50.2
ENST50R14C17C,2026-08-01,34.1
ENST50R14C17E,2026-08-01,14.1
FOENV35W12.8A-BLACK-23,2026-08-01,20.3
FOENV35W12.8A-BLUE-23,2026-08-01,20.3
FOENV35W12.8A-RED-23,2026-08-01,20.3
FLEXOL-BLKS,2026-08-01,19
FLEXOL-ORS,2026-08-01,19
FLTRK-BLKS,2026-08-01,11.5
FLTRK-ORS,2026-08-01,11.5
END50R14A20C,2026-09-01,19
END50R14M20C,2026-09-01,17.5
END50R14M30C,2026-09-01,8.4
END50R14M17C,2026-09-01,6.9
END50R14A17C,2026-09-01,8
END50R14M40C,2026-09-01,8.4
ENST50R14C20C,2026-09-01,10.2
ENST50R14M20C,2026-09-01,11.5
ENST50R14C17D,2026-09-01,6.7
ENST50R14M17C,2026-09-01,23.8
ENST50R14C17C,2026-09-01,16.2
ENST50R14C17E,2026-09-01,6.7
FOENV35W12.8A-BLACK-23,2026-09-01,10.7
FOENV35W12.8A-BLUE-23,2026-09-01,10.7
FOENV35W12.8A-RED-23,2026-09-01,10.7
FLEXOL-BLKS,2026-09-01,11.5
FLEXOL-ORS,2026-09-01,11.5
FLTRK-BLKS,2026-09-01,8
FLTRK-ORS,2026-09-01,8
END50R14A20C,2026-10-01,7
END50R14M20C,2026-10-01,6.4
END50R14M30C,2026-10-01,3.1
END50R14M17C,2026-10-01,2.5
END50R14A17C,2026-10-01,2.9
END50R14M40C,2026-10-01,3.1
ENST50R14C20C,2026-10-01,6
ENST50R14M20C,2026-10-01,6.7
ENST50R14C17D,2026-10-01,3.9
ENST50R14M17C,2026-10-01,14
ENST50R14C17C,2026-10-01,9.5
ENST50R14C17E,2026-10-01,3.9
FOENV35W12.8A-BLACK-23,2026-10-01,6.3
FOENV35W12.8A-BLUE-23,2026-10-01,6.3
FOENV35W12.8A-RED-23,2026-10-01,6.3
FLEXOL-BLKS,2026-10-01,3
FLEXOL-ORS,2026-10-01,3
FLTRK-BLKS,2026-10-01,3
FLTRK-ORS,2026-10-01,3
